adjectives
#
'
-90’erne
-kvinde
-vindende
/
007’ske
1.
10.
100.000.000
101-årige
11.
12.
121-årige
12er
13.
132-årige
14.
15-32-årige
15-årige
15.
16-filmDelphiviserLux
16.
16mm-originalmateriale
17-årige
17.
18.
1890’erne
19-tommers
19.
1950’erne
1950’ernesFarlig
"1952,At"
1970’ernes
1980’ernes
1988egentlig
1997ogMeet
"2,Dirty"
2-serienBlå
2-ungdomsserieKilljoy
2.
2.g
20.
"2001,En"
2006Hacking
"2017,Tinkas"
"2021,Two"
20th
21-årig
21-årige
21.
21st
22-årig
22-årige
22.
23-årig
23-årige
23.
24-årig
24-årige
24.
25-kilos
25-årig
25-årige
25-årigs
25.
250-årig
26-årige
26-årig
26-årige
26-årigt
26.
27-årig
27-årige
27.
28-årig
28-årige
28.
29-årig
29-årige
29.
2D
2D-agtigt
2D-animeret
2Pacs
2bag
2de
2en
2faktisk
2med
2mere
2præcis
2sig
2som
3.
3.g
30-årig
30-årige
30-årigs
30.
30.859.000
31-årig
31-årige
31.
32-årige
33-årig
33-årige
34-årige
34-årig
34-årige
35-årig
35-årige
36-årig
36-årige
37-årig
37-årige
37er
38-årig
38-årige
39-årig
39-årige
3D-animerede
3D-animeret
3D-potenserede
3Dkan
3er
3ikke
3som
3starter
4.
40-45-årige
40-årig
40-årige
40-årigt
41-årige
42-årige
42nd
43-årige
44-årige
44-årig
44-årige
45-årige
46-årige
47-årig
47-årige
48-årig
48-årige
49-årige
4:3
5.
50+-årige
50-årig
50-årige
50-årigedaredevilsine
50-årigt
50-årsjubilæet
50’er-agtige
50’er-melodrama-agtig
50’er-score
51-årige
52-årige
53-årig
53-årige
54-årige
55-årige
56-årige
57-årige
58-årige
59-årige
5th
5’s
6.
60-årige
60’er-elegante
60’er-kunstfilmiske
60’er-retrografik
61-årige
62-årige
63-årig
63-årige
64-årige
65-årig
65-årige
65­-årige
66-årig
66-årige
67-årige
68-årige
68’-agtige
69-årig
69-årige
7.
70-årig
70-årige
70er-typisk
70’er-brunt
70’er-klassiker
70’er-værdig
71-årige
72-årige
73-årige
74-årige
75-årige
77-årige
78-årige
78-årige
79-årig
79-årige
8.
80-årig
80-årige
80-årigt
8000-årige
80’er-gyser-vibe
80’er-lækkert
80’er-nostalgisk
80’er-nostalgiske
80’er-populær
80’er-versionenDirty
80’er-æstetisk
81-årig
81-årige
82-årige
83-årige
83drønspændende
83er
83hurtigt
84-årig
84-årige
85-årige
86-årig
86-årige
86er
87-årig
87-årige
88-årige
89-årige
9.
90-100.000
90-årig
90-årige
"90210,når"
90’er-boybandet
90’er-effektivt
90’er-klassikere
90’er-lignende
90’er-sketchserienIn
90’er-typiske
91-årige
92-årig
92-årige
93-årige
95-årige
96-årige
99-årige
A-Ho
A24’s
AA-møde
ADHD-agtige
ADHD­-ramte
ASMR-røst
Aaron
Abrupt
Absurd
Accountantlidt
Actionfyldte
Adi
Adrifthar
Adskillige
Adèle
Afdøde
Afeni
Affair
Affleck
Afghanistan-krig
Afgørende
Afhængig
Afhængigt
Aficionados
Afraidfor
Afrikas
Aftenrøde
Agtværdigt
Ahmed
Aiskus
Akavet
Aktiv
Al
Al-Shabaabs
