,Model,Total_Bias,Abs_Bias,Effect_Size
0,pretrained,0.6597051597051597,0.6597051597051597,0.6597051597051597
1,original,0.0,0.0,0.0
2,neutral,0.0,0.0,0.0
3,mix,0.4250614250614251,0.47911547911547914,0.4520884520884521
